Region,Zone,Woreda,Period,BCG Distributed,BCG Administered,IPV Distributed,IPV Administered,Measles Distributed,Measles Administered,Penta Distributed,Penta Administered,Rota Distributed,Rota Administered
Somali,Korahe,Ellogaden,2016,1360,2814,2400,5533,3270,5533,1944,6257,1300,8973
Somali,Korahe,Gogle,2016,900,783,1400,1607,3580,1607,2016,1699,950,2408
Somali,Korahe,Hikloley,2016,1400,637,750,1611,3350,1611,912,1702,850,2533
Somali,Korahe,Kabridehar City,2016,100,887,1000,1380,1330,1380,1248,1573,750,2068
Somali,Korahe,Kebridehare,2016,5220,3732,200,6902,1750,6902,3860,7368,2315,10776
Somali,Korahe,Kudunbur,2016,1320,0,2650,0,350,0,1200,0,765,0
Somali,Korahe,Lasdenkeri,2016,1860,478,2500,1018,11950,1018,1640,1164,890,1585
Somali,Korahe,Marsin,2016,1900,2535,475,3868,1480,3868,1968,4162,1550,5611
Somali,Korahe,Shegosh,2016,3420,1821,1000,2627,2200,2627,3514,2994,2540,4241
Somali,Korahe,Shilabo,2016,5200,1238,1200,1805,3850,1805,5020,3262,3020,3231
Somali,Liben,Bokolmayo,2016,1780,1460,2650,2609,5730,2609,2623,3862,1470,5126
Somali,Liben,Deka Suftu,2016,2640,1142,3200,3008,7750,3008,4400,3919,2250,5555
Somali,Liben,Dolo ado,2016,4420,3178,965,5323,2000,5323,8471,7550,4500,10772
Somali,Liben,Filtu,2016,5820,1823,1545,3450,2890,3450,4860,4756,2587,6326
Somali,Liben,Gora Bekeksa,2016,3020,1629,3075,4248,6460,4248,2339,5250,1260,7505
Somali,Liben,Gura Damole,2016,1640,0,2725,3038,7190,3038,4098,3630,2250,5155
Somali,Nogob,Ayun,2016,2020,1317,925,3353,1870,3353,3666,4519,2401,6446
Somali,Nogob,Duhun,2016,2960,817,1545,2524,3450,2524,3029,2902,1937,3876
Somali,Nogob,Elweyne,2016,2240,2160,1390,2939,3520,2939,5032,4923,2981,7054
Somali,Nogob,Garbo,2016,3440,551,1825,1502,4890,1502,0,1998,0,2677
Somali,Nogob,Haroshegah,2016,1140,597,1505,1636,4290,1636,1998,1954,2677,2524
Somali,Nogob,Sagag,2016,3440,1018,2915,2821,6750,2821,5272,3334,3292,4864
Somali,Nogob,Xararen,2016,1340,0,745,0,21730,0,2180,0,1306,0
Somali,Shabele,Abaqorow,2016,400,736,2705,786,6850,786,2103,1634,1032,1912
Somali,Shabele,Berano,2016,4200,2307,500,3008,1500,3008,6000,4791,3495,6629
Somali,Shabele,Danan,2016,2040,1105,3350,1854,9000,1854,2942,2792,1615,3449
Somali,Shabele,East Imey,2016,4320,2286,2430,4040,6350,4040,5720,5772,3645,8050
Somali,Shabele,Elele,2016,2100,902,1550,1655,4650,1655,2180,2042,1460,2418
Somali,Shabele,Ferfer,2016,4600,1988,2450,2427,6800,2427,4858,3150,3050,4528
Somali,Shabele,Gode,2016,3140,1924,1650,3144,3920,3144,9140,4004,5195,5243
Somali,Shabele,Gode City,2016,1100,1711,2300,3434,5090,3434,0,4490,0,5883
Somali,Shabele,Kelafo,2016,6780,1751,2000,2063,8810,2063,4490,3567,5883,5039
Somali,Shabele,Mustahil,2016,3860,4225,600,6307,6800,6307,8280,7045,5500,9778
Somali,Siti,Afdem,2016,3000,1493,3750,4255,10800,4255,5255,5515,5942,7643
Somali,Siti,Aysha,2016,960,0,2200,0,5780,0,750,0,290,0
Somali,Siti,Daymeed,2016,600,141,2205,102,3760,102,770,729,1035,957
Somali,Siti,Dembel,2016,3480,3720,1365,5377,2260,5377,6340,5634,4303,8033
Somali,Siti,Dhunyar,2016,960,549,850,1446,2200,1446,2095,1955,1965,2736
Somali,Siti,Erere,2016,8260,2141,5000,3920,9190,3920,6007,5306,4632,6808
Somali,Siti,Gablalu,2016,980,0,1410,0,4740,0,5020,0,2740,0
Somali,Siti,Hadigala,2016,440,224,10485,306,46190,306,799,712,1024,837
Somali,Siti,Meisso,2016,2380,856,1345,2516,1400,2516,1300,2728,1128,3956
Somali,Siti,Shinele,2016,2160,0,2345,4182,3180,4182,872,4259,1545,4368
Somali,Siti,Meisso,2016,2380,5455,3280,5870,4690,5870,3197,9469,2712,13216
Somali,Siti,Shinele town,2016,2160,0,2625,0,5640,0,3515,0,1848,0
Tigray,Centeral,Abergele Yechla,2016,4540,2072,4880,1788,4350,2034,11621,5662,11920,4425
Tigray,Centeral,Abi Adi,2016,3280,1747,3400,1449,1760,1867,4709,4693,6376,3854
Tigray,Centeral,Adiet,2016,6720,1845,9500,1762,10440,2017,12311,5309,15242,4320
Tigray,Centeral,Adwa town,2016,9540,1909,18010,1508,16190,1749,12304,4613,21336,4326
Tigray,Centeral,Ahferom,2016,6740,753,12770,952,12480,1345,7071,2820,14748,2579
Tigray,Centeral,Ahsea,2016,3680,865,2870,906,2370,975,4011,2809,5764,2640
Tigray,Centeral,Axum town,2016,6140,2104,10330,2112,7840,2098,12311,6045,13872,4703
Tigray,Centeral,Chlla,2016,6100,1054,11010,1123,9890,1272,9349,3279,12122,2779
Tigray,Centeral,Egella,2016,1340,800,1300,778,740,750,1421,2365,1712,1792
Tigray,Centeral,Embasenyti,2016,2260,699,1590,626,1080,726,3068,1881,3770,1698
Tigray,Centeral,Edabatsahma,2016,3320,1695,1960,1465,1800,2065,4484,4753,4848,3886
Tigray,Centeral,Enticho,2016,600,661,0,497,400,536,400,1453,700,1332
Tigray,Centeral,Hahaylle,2016,2460,729,3550,713,1310,842,3036,2340,3968,2031
Tigray,Centeral,Keyh Teklli,2016,6120,1117,13120,872,8860,1194,8982,2853,15828,2633
Tigray,Centeral,Kolla Temben,2016,9340,942,12480,908,11650,1242,11945,2873,15558,2729
Tigray,Centeral,Laelay Maychew,2016,3980,876,6610,989,6410,1524,5963,2926,7766,2226
Tigray,Centeral,Mai Kinetal,2016,1800,913,2990,827,3260,883,2669,2549,4234,2470
Tigray,Centeral,Naeder,2016,4480,966,8080,866,7660,1213,6462,2873,9304,2601
Tigray,Centeral,Rama Adi 4,2016,2900,1096,3800,1108,3410,1577,5336,3332,6550,2358
Tigray,Centeral,Tahtay Maychew,2016,4800,1300,8490,1233,7440,2091,7087,3881,10190,3015
Tigray,Centeral,Tankamlash,2016,4120,856,7920,658,8430,1423,5773,2294,9344,1848
Tigray,East,Adigrat,2016,4120,2365,11670,2005,6280,2722,6623,6136,14726,5823
Tigray,East,Atsbi,2016,1280,1402,3560,1373,370,2102,1580,3965,3376,3126
Tigray,East,Atsibi E/Silasea,2016,4200,297,6340,278,4390,389,3690,799,6652,826
Tigray,East,Erob,2016,1240,191,3470,213,1860,257,688,682,2320,509
Tigray,East,Ganta Afeshum,2016,6200,846,6170,866,3680,1173,6114,2716,9762,2240
Tigray,East,Gerealta,2016,1300,622,2260,832,1170,894,2593,1885,1878,1764
Tigray,East,Gulomekeda,2016,2160,563,6720,680,2820,657,2628,1825,5192,1983
Tigray,East,Kilte awlaelo,2016,8080,797,20570,1296,7700,1206,12726,2691,17594,2377
Tigray,East,Subha Saesie,2016,3640,863,7090,937,4740,971,4709,2825,8404,2329
Tigray,East,Tsaeda Emba,2016,3380,1744,5530,1565,4460,1998,4313,4844,7036,4664
Tigray,East,Tsirae Wemberta,2016,5800,1460,5510,1484,4900,1904,8100,4369,7146,3532
Tigray,East,Wukro,2016,2520,1338,12090,953,2290,1881,5700,3755,6656,3707
Tigray,Mekelle,Adihaki,2016,4220,1468,6820,1329,3480,2073,4747,4361,7094,4152
Tigray,Mekelle,Ayder,2016,31260,2888,216330,3562,21870,3563,13397,8744,47782,8079
Tigray,Mekelle,Hadnet,2016,5140,2887,14960,4294,9330,4947,13718,10741,17186,8661
Tigray,Mekelle,Hawelti,2016,2720,2185,14880,2229,4130,3308,9126,6850,15532,5881
Tigray,Mekelle,Kedamay Weyane,2016,6500,427,3530,463,3370,661,4956,1390,6244,1376
Tigray,Mekelle,Quiha,2016,1880,959,5700,1238,2850,1210,4924,3094,7148,2875
Tigray,Mekelle,Semen,2016,3580,2545,11750,2918,4750,2082,9234,5583,11240,4640
Tigray,North West,Adi Daero,2016,6100,1414,9080,1513,3930,1652,10169,4326,13988,3148
Tigray,North West,Asgede,2016,8380,1829,19300,2277,13680,3075,17913,6918,24500,5251
Tigray,North West,Endaba Guna,2016,3440,662,3450,592,400,826,4499,1800,5042,1417
Tigray,North West,Laelay Koraro,2016,5860,1234,5680,1183,7600,1371,9229,3739,12384,2608
Tigray,North West,Maekel Adiabo,2016,2720,760,5230,760,3350,957,4805,2477,6050,1804
Tigray,North West,Seyemti Adiabo,2016,2640,679,7920,882,7200,1151,6826,2805,9426,1992
Tigray,North West,Sheraro Town,2016,2240,1133,4490,853,2550,736,4115,2722,5442,2433
Tigray,North West,Shire Endaselasie,2016,9400,4013,16450,3796,6790,4592,16911,11777,20250,9956
Tigray,North West,Tahetay Adiabo,2016,3180,1533,7580,1623,5680,2474,5823,4790,7088,3366
Tigray,North West,Tahetay Koraro,2016,4620,1581,8260,1476,11390,2083,12221,4579,15746,3512
Tigray,North West,Tsimbla,2016,6020,1228,12560,1207,10580,1671,11437,3780,14638,2965
Tigray,North West,Zana,2016,5260,1476,11170,1201,8460,1711,8463,3856,10840,2988
Tigray,South,Emba Alaje,2016,10380,1205,21670,955,12880,1691,11759,3407,16502,2855
Tigray,South,Enda mekhoni,2016,6960,1376,20250,1423,8310,2345,8756,3961,11876,3451
Tigray,South,Korem,2016,2600,20,3390,0,4810,0,3435,0,5026,520
Tigray,South,Maychew,2016,5680,880,6010,872,2910,1064,3423,2454,7100,2199
Tigray,South,Ofla,2016,9620,186,23490,99,38160,727,19843,868,22564,635
Tigray,South,Raya Azebo,2016,9380,299,16960,507,11150,361,15541,795,21526,804
Tigray,South,Raya Chercher,2016,2660,1810,3020,1463,2220,2497,1383,4716,4938,4523
Tigray,South East,Degua Tembien,2016,4780,1176,9440,1085,4770,1405,6226,3376,11648,2607
Tigray,South East,Enderta,2016,10620,2447,18440,2277,6150,3207,17246,7551,24296,7050
Tigray,South East,Hintallo,2016,14260,3985,33200,3389,15240,4731,20727,11127,22596,9558
Tigray,South East,Samre,2016,4960,937,9590,914,6120,1108,9043,2654,11016,2796
Tigray,South East,Seharti,2016,4740,1394,8950,1295,7400,1164,8223,3823,9446,3605
Tigray,South East,Wejerat,2016,500,827,250,681,200,1503,300,2298,200,1813
